# This file is generated on 06-Dec-2021 at 11:29:41 and contains for each site, each satellite, frequency:
# att_scin = attenuation due to scintillation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_scin (dB)
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.5000e-02, 1.4169e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 7.7000e-02, 1.2887e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.3000e-01, 1.1711e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 2.1000e-01, 1.0688e+00
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.5000e-01, 9.6455e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e-01, 8.5876e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 9.5000e-01, 7.7109e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.7000e+00, 6.6217e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+00, 5.5682e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.1000e+00, 4.5799e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 8.3000e+00, 3.6594e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.2000e+01, 2.9486e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.9000e+01, 2.0393e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 3.0000e+01, 1.1031e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 4.0000e+01, 4.9352e-02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.0000e+01, 8.7324e-04
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 6.0000e+01, -3.9578e-02
