# This file is generated on 06-Dec-2021 at 11:29:41 and contains for each site, each satellite, frequency:
# att_rain = attenuation due to rain (dB); hr = mean rain height above sea level (km); R001 = Rain rate for 0.01 percente time of average year; k = k factor for rain attenuation; alpha = alpha factor for rain attenuation.
# All parameters are computed by: ITU-R P.618-10 model.
# Attenuation due to clouds results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), hr (km), R001 (mm/h), k, alpha, att_rain (dB)
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e-03, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.2659e+02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.0000e-03, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.1217e+02
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 9.2619e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 7.9882e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 6.6600e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 5.4803e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 4.3823e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.4599e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 2.7427e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 2.1061e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.5644e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.1958e+01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 8.3411e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 5.7434e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.9758e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 2.7906e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.2000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 2.1126e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 1.9000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.4746e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 3.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.0174e+00
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 4.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 7.9964e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 5.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 6.6089e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 6.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 5.6422e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 7.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 4.9276e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 8.0000e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 4.3766e-01
1, 4, 7.5000e+01, 2.0000e+01, 1.0000e+00, 9.9990e+01, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 3.5808e-01
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 5.0000e-04, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.5448e+02
1, 5, 7.5000e+01, 2.5000e+01, 1.0000e+00, 1.0000e-03, 3.0161e+00, 3.5896e+01, 1.1024e+00, 7.1656e-01, 1.4127e+02
