# This file is generated on 06-Dec-2021 at 11:45:48 and contains for each site, each satellite, frequency:
# att_comb = total attenuation (dB).
# All parameters are computed by: ITU-R P.618-10 model.
# Total attenuation results are sorted acording to the site identification number:
#    _ 1 = Budapest (Lat = 4.7498e+01 deg, Lon = 1.9040e+01 deg, Alt = 5.2700e-01 km)
# Stored values are organised as follow:
# Site number, Satellite number, Frequency (GHz), Elevation angle (deg), Elevation probability (), Time exceeded (%), att_comb (dB)
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 6.0000e+01, 1.3722e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 7.0000e+01, 1.3430e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 8.0000e+01, 1.3295e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.0000e+01, 1.3267e+00
1, 3, 3.7500e+01, 1.5000e+01, 1.0000e+00, 9.9990e+01, 1.3312e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.0000e-04, 1.0852e+02
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.0000e-03, 9.8398e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.0000e-03, 7.9476e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.0000e-03, 7.0301e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.0000e-02, 5.8222e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.6000e-02, 5.0557e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 2.7000e-02, 4.2724e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 4.5000e-02, 3.5903e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 7.7000e-02, 2.9674e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.3000e-01, 2.4372e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 2.1000e-01, 2.0140e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.5000e-01, 1.6323e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 6.0000e-01, 1.2973e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 9.5000e-01, 1.0674e+01
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 1.7000e+00, 8.2410e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 3.0000e+00, 6.3855e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 5.1000e+00, 4.9249e+00
1, 4, 3.7500e+01, 2.0000e+01, 1.0000e+00, 8.3000e+00, 3.7953e+00
