FREQUENCY,ELEVATION,PROBABILITY,ATTENUATION
7.5000e+01, 7.5000e+01, 6.0000e+01, 1.1347e+00
7.5000e+01, 7.5000e+01, 7.0000e+01, 1.0914e+00
7.5000e+01, 7.5000e+01, 8.0000e+01, 1.0583e+00
7.5000e+01, 7.5000e+01, 9.9990e+01, 1.0106e+00
7.5000e+01, 8.0000e+01, 5.0000e-04, 1.2674e+02
7.5000e+01, 8.0000e+01, 1.0000e-03, 1.1548e+02
7.5000e+01, 8.0000e+01, 3.0000e-03, 9.3905e+01
7.5000e+01, 8.0000e+01, 5.0000e-03, 8.3280e+01
7.5000e+01, 8.0000e+01, 1.0000e-02, 6.9159e+01
7.5000e+01, 8.0000e+01, 1.6000e-02, 6.0125e+01
7.5000e+01, 8.0000e+01, 2.7000e-02, 5.0833e+01
7.5000e+01, 8.0000e+01, 4.5000e-02, 4.2690e+01
7.5000e+01, 8.0000e+01, 7.7000e-02, 3.5209e+01
7.5000e+01, 8.0000e+01, 1.3000e-01, 2.8829e+01
7.5000e+01, 8.0000e+01, 2.1000e-01, 2.3738e+01
7.5000e+01, 8.0000e+01, 3.5000e-01, 1.9142e+01
7.5000e+01, 8.0000e+01, 6.0000e-01, 1.5113e+01
7.5000e+01, 8.0000e+01, 9.5000e-01, 1.2345e+01
7.5000e+01, 8.0000e+01, 1.7000e+00, 9.4359e+00
7.5000e+01, 8.0000e+01, 3.0000e+00, 7.2290e+00
7.5000e+01, 8.0000e+01, 5.1000e+00, 5.5166e+00
7.5000e+01, 8.0000e+01, 8.3000e+00, 4.2096e+00
7.5000e+01, 8.0000e+01, 1.2000e+01, 3.3568e+00
7.5000e+01, 8.0000e+01, 1.9000e+01, 2.4212e+00
7.5000e+01, 8.0000e+01, 3.0000e+01, 1.6699e+00
7.5000e+01, 8.0000e+01, 4.0000e+01, 1.3896e+00
7.5000e+01, 8.0000e+01, 5.0000e+01, 1.1906e+00
7.5000e+01, 8.0000e+01, 6.0000e+01, 1.1115e+00
7.5000e+01, 8.0000e+01, 7.0000e+01, 1.0691e+00
7.5000e+01, 8.0000e+01, 8.0000e+01, 1.0368e+00
7.5000e+01, 8.0000e+01, 9.9990e+01, 9.9022e-01
7.5000e+01, 8.5000e+01, 5.0000e-04, 1.2374e+02
7.5000e+01, 8.5000e+01, 1.0000e-03, 1.1266e+02
7.5000e+01, 8.5000e+01, 3.0000e-03, 9.1508e+01
7.5000e+01, 8.5000e+01, 5.0000e-03, 8.1117e+01
7.5000e+01, 8.5000e+01, 1.0000e-02, 6.7327e+01
7.5000e+01, 8.5000e+01, 1.6000e-02, 5.8515e+01
7.5000e+01, 8.5000e+01, 2.7000e-02, 4.9461e+01
7.5000e+01, 8.5000e+01, 4.5000e-02, 4.1534e+01
7.5000e+01, 8.5000e+01, 7.7000e-02, 3.4259e+01
7.5000e+01, 8.5000e+01, 1.3000e-01, 2.8056e+01
7.5000e+01, 8.5000e+01, 2.1000e-01, 2.3108e+01
7.5000e+01, 8.5000e+01, 3.5000e-01, 1.8641e+01
7.5000e+01, 8.5000e+01, 6.0000e-01, 1.4727e+01
7.5000e+01, 8.5000e+01, 9.5000e-01, 1.2038e+01
7.5000e+01, 8.5000e+01, 1.7000e+00, 9.2096e+00
7.5000e+01, 8.5000e+01, 3.0000e+00, 7.0632e+00
7.5000e+01, 8.5000e+01, 5.1000e+00, 5.3950e+00
7.5000e+01, 8.5000e+01, 8.3000e+00, 4.1197e+00
7.5000e+01, 8.5000e+01, 1.2000e+01, 3.2865e+00
7.5000e+01, 8.5000e+01, 1.9000e+01, 2.3709e+00
7.5000e+01, 8.5000e+01, 3.0000e+01, 1.6350e+00
7.5000e+01, 8.5000e+01, 4.0000e+01, 1.3612e+00
7.5000e+01, 8.5000e+01, 5.0000e+01, 1.1666e+00
7.5000e+01, 8.5000e+01, 6.0000e+01, 1.0898e+00
7.5000e+01, 8.5000e+01, 7.0000e+01, 1.0491e+00
7.5000e+01, 8.5000e+01, 8.0000e+01, 1.0179e+00
7.5000e+01, 8.5000e+01, 9.9990e+01, 9.7315e-01
7.5000e+01, 9.0000e+01, 5.0000e-04, 1.2585e+02
7.5000e+01, 9.0000e+01, 1.0000e-03, 1.1464e+02
7.5000e+01, 9.0000e+01, 3.0000e-03, 9.3176e+01
7.5000e+01, 9.0000e+01, 5.0000e-03, 8.2615e+01
7.5000e+01, 9.0000e+01, 1.0000e-02, 6.8583e+01
7.5000e+01, 9.0000e+01, 1.6000e-02, 5.9609e+01
7.5000e+01, 9.0000e+01, 2.7000e-02, 5.0381e+01
7.5000e+01, 9.0000e+01, 4.5000e-02, 4.2296e+01
7.5000e+01, 9.0000e+01, 7.7000e-02, 3.4871e+01
7.5000e+01, 9.0000e+01, 1.3000e-01, 2.8541e+01
7.5000e+01, 9.0000e+01, 2.1000e-01, 2.3492e+01
